who,problem,when,try,problem_len,input_len,output_len,diff,result
*_PRO_CHALLENGER,B,2024-05-26 18:55:00,2,67,38,37,0,0
*_Yash_Kumar_,B,2024-05-26 18:40:00,2,67,38,37,0,0
*_Yash_Kumar_,C,2024-05-26 19:23:00,2,133,64,14,1,0
*__sadman,B,2024-05-26 18:22:00,3,67,38,37,0,0
*_kool_kid,B,2024-05-26 18:16:00,1,67,38,37,0,0
*_kool_kid,C,2024-05-26 18:24:00,18,133,64,14,1,0
*_recipr0cal_,C,2024-05-26 19:30:00,1,133,64,14,1,0
*_sandeep_charlie,B,2024-05-26 18:31:00,2,67,38,37,0,0
*_sandeep_charlie,A,2024-05-26 18:36:00,2,66,35,38,0,0
*a100a,B,2024-05-26 19:07:00,4,67,38,37,0,0
*a100a,C,2024-05-26 19:21:00,4,133,64,14,1,0
*aadharbatra,B,2024-05-26 18:53:00,2,67,38,37,0,0
*aadharbatra,C,2024-05-26 19:25:00,2,133,64,14,1,0
*aalsee,B,2024-05-26 18:39:00,4,67,38,37,0,0
*aaryansinghrathore139,B,2024-05-26 18:34:00,2,67,38,37,0,0
*aaryansinghrathore139,C,2024-05-26 19:00:00,2,133,64,14,1,0
*abc864197532,E,2024-05-26 18:37:00,2,238,45,215,2,1
*abdelrahmanmohamed188200,A,2024-05-26 19:14:00,2,66,35,38,0,0
*abdelrahmanmohamed188200,B,2024-05-26 19:23:00,2,67,38,37,0,0
*abhinav112005,B,2024-05-26 18:31:00,2,67,38,37,0,0
*abstract_nonsense,C,2024-05-26 18:27:00,6,133,64,14,1,0
*acker.mann,B,2024-05-26 19:21:00,2,67,38,37,0,0
*acker.mann,C,2024-05-26 19:26:00,2,133,64,14,1,0
*adarsh121adarsh121,A,2024-05-26 18:21:00,3,66,35,38,0,0
*adarsh121adarsh121,B,2024-05-26 18:22:00,3,67,38,37,0,0
*adarsharma56763,B,2024-05-26 18:28:00,7,67,38,37,0,0
*adithyan_asam,B,2024-05-26 18:56:00,2,67,38,37,0,0
*aditya_ecocs,B,2024-05-26 18:32:00,2,67,38,37,0,0
*aditya_ecocs,C,2024-05-26 19:02:00,8,133,64,14,1,0
*adnankhurshid251,B,2024-05-26 18:47:00,2,67,38,37,0,0
*aegon_targaryenn,B,2024-05-26 18:27:00,4,67,38,37,0,0
*ag_pulkit,C,2024-05-26 19:34:00,1,133,64,14,1,0
*agarwal_jayaa,B,2024-05-26 18:15:00,1,67,38,37,0,0
*agarwal_jayaa,C,2024-05-26 18:50:00,1,133,64,14,1,0
*ahmadexe,B,2024-05-26 19:03:00,2,67,38,37,0,0
*akenoxd,B,2024-05-26 18:29:00,4,67,38,37,0,0
*alokkumar97,B,2024-05-26 18:25:00,5,67,38,37,0,0
*alpine_forester,B,2024-05-26 18:19:00,1,67,38,37,0,0
*aman993,C,2024-05-26 19:24:00,4,133,64,14,1,0
*aman_2606,B,2024-05-26 19:34:00,1,67,38,37,0,0
*anandita_raj,B,2024-05-26 18:25:00,4,67,38,37,0,0
*anango,B,2024-05-26 18:39:00,12,67,38,37,0,1
*anantsrivastava02,A,2024-05-26 19:32:00,1,66,35,38,0,0
*ananya_mhjn2,B,2024-05-26 18:35:00,4,67,38,37,0,0
*ananya_mhjn2,A,2024-05-26 18:42:00,5,66,35,38,0,0
*ananya_mhjn2,C,2024-05-26 19:34:00,1,133,64,14,1,0
*ankit_srivastav,A,2024-05-26 18:22:00,3,66,35,38,0,0
*ankit_srivastav,B,2024-05-26 18:23:00,3,67,38,37,0,0
*ankit_srivastav,C,2024-05-26 19:22:00,3,133,64,14,1,0
*ankush9140,B,2024-05-26 18:34:00,4,67,38,37,0,0
*ankush9140,C,2024-05-26 19:32:00,1,133,64,14,1,0
*anmoldtuece,A,2024-05-26 18:14:00,1,66,35,38,0,0
*anmoldtuece,B,2024-05-26 18:23:00,3,67,38,37,0,0
*anoif,B,2024-05-26 18:25:00,4,67,38,37,0,0
*anoif,C,2024-05-26 19:33:00,1,133,64,14,1,0
*anomitroid,B,2024-05-26 18:28:00,4,67,38,37,0,0
*anubhav38,B,2024-05-26 18:27:00,4,67,38,37,0,0
*anuj__6545,B,2024-05-26 18:39:00,7,67,38,37,0,0
*anuj__6545,C,2024-05-26 19:24:00,2,133,64,14,1,0
*anuragchugh11,B,2024-05-26 18:24:00,7,67,38,37,0,0
*apgpsoop,C,2024-05-26 18:22:00,13,133,64,14,1,0
*aprajita_99,B,2024-05-26 19:08:00,2,67,38,37,0,0
*arnob_006,B,2024-05-26 18:49:00,2,67,38,37,0,0
*arnob_006,A,2024-05-26 18:58:00,4,66,35,38,0,0
*arpitgupta0103,B,2024-05-26 18:37:00,4,67,38,37,0,0
*aryan.cognizance,C,2024-05-26 19:06:00,14,133,64,14,1,0
*aryan.cognizance,B,2024-05-26 19:27:00,2,67,38,37,0,0
*aryan.cognizance,A,2024-05-26 19:30:00,1,66,35,38,0,0
*aryanjivani425,B,2024-05-26 18:17:00,3,67,38,37,0,0
*aryna,B,2024-05-26 18:38:00,2,67,38,37,0,0
*as_dfsdf,E,2024-05-26 18:14:00,2,238,45,215,2,1
*as_dfsdf,D,2024-05-26 19:02:00,6,60,60,56,1,0
*ashish.kumar.030201,B,2024-05-26 18:45:00,2,67,38,37,0,0
*ashishsingh1,C,2024-05-26 19:32:00,2,133,64,14,1,0
*ashishsoni7195,B,2024-05-26 18:37:00,2,67,38,37,0,0
*atul_111,B,2024-05-26 18:23:00,3,67,38,37,0,0
*atul_111,C,2024-05-26 19:34:00,1,133,64,14,1,0
*aufannn,C,2024-05-26 18:14:00,2,133,64,14,1,1
*aufannn,D,2024-05-26 18:39:00,10,60,60,56,1,1
*avirat2211,B,2024-05-26 18:35:00,2,67,38,37,0,0
*avneets2003,C,2024-05-26 19:32:00,1,133,64,14,1,0
